bin,lower,upper,count,accuracy,confidence,gap
5,0.5,0.6000000000000001,12,1.0,0.5554849977230424,0.4445150022769576
6,0.6000000000000001,0.7000000000000001,19,1.0,0.6553833117971232,0.34461668820287683
7,0.7000000000000001,0.8,22,1.0,0.7596658181795064,0.2403341818204936
8,0.8,0.9,32,1.0,0.8566785585966713,0.1433214414033287
9,0.9,1.0,915,1.0,0.9954515547883965,0.004548445211603469
