model,attack,epsilon,samples,conventional_asr,constraint_aware_asr,asr_difference,asr_bootstrap_ci_lower,asr_bootstrap_ci_upper,relative_asr_reduction,conventional_mean_confidence_drop,constraint_aware_mean_confidence_drop,confidence_drop_difference,confidence_bootstrap_ci_lower,confidence_bootstrap_ci_upper,median_confidence_difference,confidence_difference_q1,confidence_difference_q3,conventional_greater_confidence_fraction,both_fail,conventional_only,constraint_only,both_success
mlp,FGSM,0.05,1000,0.084,0.036,0.048,0.035,0.062,0.5714285714285715,0.06513017723028114,0.026636550001900895,0.03849362722838025,0.03369632768853632,0.043456554929319234,3.901979489773222e-05,4.247668159429452e-07,0.03779990315780199,1.0,916,48,0,36
mlp,FGSM,0.1,1000,0.177,0.062,0.115,0.096,0.13502499999999965,0.6497175141242938,0.14301932438006315,0.04806771037462383,0.09495161400543932,0.0849395309771574,0.1050321987149502,0.0006042010409586518,8.222656608214418e-06,0.14708887742536145,0.997,823,115,0,62
mlp,FGSM,0.2,1000,0.347,0.088,0.259,0.232,0.287,0.7463976945244957,0.3009996503304153,0.08312613192883929,0.217873518401576,0.2013417628512855,0.23499710604049884,0.06600617758528843,0.001269482477987277,0.4076372860645298,0.994,651,261,2,86
mlp,PGD,0.05,1000,0.096,0.038,0.058,0.044,0.073,0.6041666666666667,0.07061629390590986,0.028813146424659535,0.04180314748125032,0.03669646077353275,0.0471571028139392,4.082091201407234e-05,4.4262472104206196e-07,0.041770559596032764,1.0,904,58,0,38
mlp,PGD,0.1,1000,0.206,0.076,0.13,0.11,0.152,0.6310679611650485,0.16865060901691373,0.056717462944633396,0.11193314607228032,0.10048300815997843,0.12347776466870146,0.0007976969341037532,1.1199957594354437e-05,0.1747911265461037,1.0,794,130,0,76
mlp,PGD,0.2,1000,0.415,0.136,0.279,0.251,0.307,0.6722891566265059,0.3864419674256095,0.11339292322814787,0.2730490441974616,0.25400556749475917,0.2918422334341831,0.14768081363749114,0.006555736229733294,0.4736293023754614,1.0,585,279,0,136
