eligible_samples,successful_evasions,attack_success_rate,mean_changed_features,mean_l2,mean_linf,mean_clean_malicious_probability,mean_attacked_malicious_probability,mean_confidence_drop,model,attack,epsilon,pilot_samples,seed
1000,10,0.01,39.0,0.062449979983983966,0.010000000000000012,0.9740826374032472,0.9634505455200105,0.010632091883236673,mlp,fgsm,0.01,1000,42
1000,84,0.084,39.0,0.31224989991991997,0.05000000000000005,0.9740826374032472,0.9089524601729659,0.06513017723028114,mlp,fgsm,0.05,1000,42
1000,177,0.177,39.0,0.6244997998398398,0.1000000000000001,0.9740826374032472,0.831063313023184,0.14301932438006315,mlp,fgsm,0.1,1000,42
1000,347,0.347,39.0,1.2489995996796794,0.20000000000000018,0.9740826374032472,0.6730829870728319,0.3009996503304153,mlp,fgsm,0.2,1000,42
1000,961,0.961,39.0,3.122498999199199,0.5,0.9740826374032472,0.08484943802251835,0.8892331993807289,mlp,fgsm,0.5,1000,42
